Index,Histogram,band_1_mean,band_1_std,band_2_mean,band_2_std,band_3_mean,band_3_std
 991.000,35253.000,  95.354,   9.005,  93.491,   8.237,  86.409,   8.247
 992.000,12277.000, 120.704,  13.111, 106.506,  11.108, 103.005,  10.982
 993.000,  13.000,  50.923,  15.559,  45.000,  14.277,  38.462,  15.911
 994.000,25248.000, 113.386,  11.189, 102.805,   9.410,  99.633,   9.481
 995.000,13250.000,  84.136,  11.050,  84.652,  10.837,  75.833,  10.489
 996.000,   2.000,   7.000,   1.000,   6.000,   1.000,   2.000,   1.000
 997.000,15489.000,  82.479,  10.175,  84.002,  10.375,  78.080,   9.794
 998.000,15790.000,  79.402,  11.350,  80.385,  11.250,  73.360,  10.997
 999.000,  10.000,  32.400,  14.908,  34.200,  14.878,  29.200,  14.878
1000.000,20428.000,  89.592,  10.397,  88.590,  10.382,  81.919,   9.550
1001.000,10997.000,  98.354,   9.540,  91.279,   7.914,  86.575,   8.208
1002.000,10644.000, 110.290,  17.106, 102.774,  14.892,  94.834,  14.700
1003.000,10388.000,  82.764,  11.188,  79.874,  10.702,  75.599,  10.436
1004.000,17061.000, 110.163,  10.108,  96.355,   9.147,  95.970,   8.795
1005.000,   6.000,  21.000,   6.733,  20.167,   7.081,  18.667,   6.944
1006.000,21719.000,  86.169,  11.655,  81.896,  11.398,  78.055,  10.846
1007.000,16290.000,  96.680,  11.683,  88.821,  10.269,  84.646,   9.938
1008.000,12490.000,  83.277,  11.740,  76.568,  11.337,  75.544,  10.892
1009.000,15358.000,  90.880,   8.114,  90.335,   7.300,  83.082,   7.221
1010.000,   4.000,  29.250,   9.038,  30.250,   9.038,  25.250,   9.038
1011.000,  13.000,  54.308,  14.531,  45.077,  14.819,  43.692,  14.668
1012.000,27333.000,  98.292,   9.706,  91.271,   8.601,  87.180,   8.549
1013.000,11116.000, 102.193,  10.393,  99.180,   9.370,  90.423,   9.389
1014.000,   8.000,  48.375,  16.462,  44.375,  15.898,  37.875,  16.930
1015.000,34667.000, 102.998,  12.141,  98.299,  10.855,  91.376,  10.702
1016.000,10260.000,  81.151,   8.737,  81.756,   8.621,  75.387,   8.485
1017.000,18601.000, 114.599,  12.950,  96.850,  10.976,  97.782,  10.765
1018.000,   4.000,  39.750,  20.401,  31.750,  20.401,  29.750,  20.401
1019.000,  13.000,  44.615,  14.063,  43.385,  13.865,  39.231,  13.835
1020.000,14061.000, 108.402,  11.841, 101.435,  10.589,  94.248,  10.403
1021.000,10463.000,  95.422,   8.153,  95.832,   7.436,  86.181,   7.423
1022.000,   4.000,  17.000,   8.515,  15.500,   8.078,  15.000,   9.407
1023.000,   4.000,  34.500,  16.771,  33.500,  16.771,  28.500,  16.771
1024.000,25958.000,  80.483,  10.683,  81.316,  10.669,  75.971,  10.172
1025.000,   8.000,  22.500,  13.314,  28.500,  13.314,  18.500,  13.314
1026.000,12831.000, 101.379,   9.137,  96.989,   8.272,  91.671,   7.984
1027.000,17546.000,  92.451,  10.210,  89.659,   9.586,  82.013,   9.234
1028.000,20196.000,  88.319,  10.661,  84.386,  10.227,  80.305,   9.789
1029.000,  10.000,  47.900,  16.325,  42.300,  16.218,  39.500,  16.243
1030.000,   6.000,  53.500,  10.689,  40.167,  11.157,  40.167,  11.157
1031.000,20128.000,  90.693,  10.082,  88.685,   9.561,  82.908,   9.364
1032.000,  18.000,  41.111,  16.516,  42.222,  16.288,  41.556,  16.194
